Carex_forsteri|NZS|spm00002183;Carex forsteri;Echinochlaenae;60
Carex_arnellii|SWE|spm00003783;Carex arnellii;Hymenochlaenae;40
Carex_albursina|KTY|spm00001384;Carex albursina;Laxiflorae;44
Carex_albursina|KTY|spm00001384;Carex albursina;Laxiflorae;44
Carex_digitalis|NWY|NCBI_Waterway_3702;Carex digitalis;Careyanae;48
Carex_gracilescens|KTY|spm00000927;Carex gracilescens;Laxiflorae;33
Carex_gracilescens|KTY|spm00000927;Carex gracilescens;Laxiflorae;40
Carex_gracilescens|KTY|spm00000927;Carex gracilescens;Laxiflorae;38
Carex_gracilescens|KTY|spm00000927;Carex gracilescens;Laxiflorae;40
Carex_striatula|DEL|spm00001264;Carex striatula;Laxiflorae;36
Carex_striatula|DEL|spm00001264;Carex striatula;Laxiflorae;40
Carex_gholsonii|ALA|spm00000953;Carex gholsonii;Granulares;36
Carex_gholsonii|ALA|spm00000953;Carex gholsonii;Granulares;36
Carex_orestera|CAL|spm00008033;Carex orestera;Racemosae;52
Carex_fischeri_ssp_fischeri|ETH|spm00004352;Carex fischeri subsp. fischeri;Spirostachyae;68
Carex_fischeri_ssp_fischeri|ETH|spm00004352;Carex fischeri subsp. fischeri;Spirostachyae;70
Carex_fischeri_ssp_fischeri|ETH|spm00004352;Carex fischeri subsp. fischeri;Spirostachyae;72
Carex_fuscula|CLC|spm00004370;Carex fuscula;Spirostachyae;64
Carex_fuscula|CLC|spm00004370;Carex fuscula;Spirostachyae;66
Carex_fuscula|CLC|spm00004370;Carex fuscula;Spirostachyae;68
Carex_helodes|POR|NCBI_Jose_2346;Carex helodes;Spirostachyae;71
Carex_helodes|POR|NCBI_Jose_2346;Carex helodes;Spirostachyae;72
Carex_helodes|POR|NCBI_Jose_2346;Carex helodes;Spirostachyae;74
Carex_helodes|POR|NCBI_Jose_2346;Carex helodes;Spirostachyae;75
Carex_mannii_ssp_mannii|GGI|spm00002860;Carex mannii;Spirostachyae;70
Carex_perraudieriana|CNY|spm00004346;Carex perraudieriana;Spirostachyae;74
Carex_diluta|TCS|spm00004364;Carex diluta;Spirostachyae;70
Carex_diluta|TCS|spm00004364;Carex diluta;Spirostachyae;74
Carex_densifimbriata|CH|NCBI_Liuo_2556;Carex densifimbriata;Hemiscaposae;12
Carex_glossostigma|CHS|spm00007875;Carex glossostigma;Siderostictae;24
Carex_grandiligulata|CHS|spm00000056;Carex grandiligulata;Siderostictae;12
Carex_grandiligulata|CHS|spm00000056;Carex grandiligulata;Siderostictae;24
Carex_kwangsiensis|CH|NCBI_Liuo_2555;Carex kwangsiensis;Hemiscaposae;12
Carex_lingii|CH|NCBI_Yang_3761;Carex lingii;Hemiscaposae;12
Carex_longshengensis|CH|NCBI_Yu_3779;Carex longshengensis;Siderostictae;12
Carex_scaposa|CHC|spm00007891;Carex scaposa;Hemiscaposae;24
Carex_subcapitata|CH|NCBI_Jin_2301;Carex subcapitata;Siderostictae;12
Carex_okamotoi|KOR|NCBI_Hoshino_2100;Carex okamotoi;Siderostictae;12
Carex_okamotoi|KOR|NCBI_Hoshino_2100;Carex okamotoi;Siderostictae;12
Carex_cretica|KRI|spm00004382;Carex cretica;Sylvaticae;58
Carex_cretica|KRI|spm00004382;Carex cretica;Sylvaticae;58
Carex_fissirostris|MOR|spm00004379;Carex fissirostris;Spirostachyae;72
Carex_idaea|KRI|spm00004380;Carex idaea;Spirostachyae;74
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;76
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;74
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;74
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;74
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;80
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;74
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;74
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;74
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;74
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;74
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;74
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;74
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;74
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;74
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;74
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;74
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;74
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;76
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;76
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;76
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;76
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;76
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;76
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;76
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;76
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;76
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;76
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;74
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;76
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;74
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;74
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;74
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;74
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;72
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;74
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;74
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;74
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;74
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;74
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;82
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;82
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;82
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;84
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;84
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;74
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;76
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;80
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;77
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;76
Carex_laevigata|SPA|spm00002938;Carex laevigata;Spirostachyae;76
Carex_lowei|MDR|spm00002858;Carex lowei;Spirostachyae;76
Carex_lowei|MDR|spm00002858;Carex lowei;Spirostachyae;76
Carex_paulovargasii|MOR|spm00004349;Carex paulo vargasii;Spirostachyae;74
Carex_paulovargasii|MOR|spm00004349;Carex paulo vargasii;Spirostachyae;74
Carex_paulovargasii|MOR|spm00004349;Carex paulo vargasii;Spirostachyae;74
Carex_paulovargasii|MOR|spm00004349;Carex paulo vargasii;Spirostachyae;74
Carex_paulovargasii|MOR|spm00004349;Carex paulo vargasii;Spirostachyae;74
Carex_paulovargasii|MOR|spm00004349;Carex paulo vargasii;Spirostachyae;74
Carex_paulovargasii|MOR|spm00004349;Carex paulo vargasii;Spirostachyae;74
Carex_paulovargasii|MOR|spm00004349;Carex paulo vargasii;Spirostachyae;74
Carex_paulovargasii|MOR|spm00004349;Carex paulo vargasii;Spirostachyae;74
Carex_paulovargasii|MOR|spm00004349;Carex paulo vargasii;Spirostachyae;74
Carex_troodi|CYP|spm00004356;Carex troodi;Spirostachyae;68
Carex_troodi|CYP|spm00004356;Carex troodi;Spirostachyae;68
