"original.name";"species";"section";"mean";"se_squared";"Ncyt";"Culm.length.mp";"Culm.length.1.4";"Leaf.width.mp";"Leaf.width.1.4";"Utricle.length.mp";"Utricle.length.1.4";"Number.of.L.spikes.mp";"Number.of.L.spikes.1.4";"LI.length.mp";"LI.length.1.4";"LI.type";"Number.of.T.spikes.mp";"Number.of.T.spikes.1.4";"TI.length.mp";"TI.length.1.4";"TI.type";"weighted_var"
"Carex_scoparia|MAI|spm00001255";"Carex scoparia var. scoparia";"Ovales";65,1908396946565;0,0552101589919897;131;60;20;2,2;0,4;5,5;0,65;5,5;1,75;11,5;2,25;3;1;0;11,5;2,25;3;0,023625085524973
"Carex_nigra_ssp_nigra|GRB|NCBI_Dean_SM00019";"Carex nigra subsp. nigra";"Phacocystis";83,9056603773585;0,0713092532245256;53;60;25;3,25;0,625;2,85;0,425;2,5;0,25;27;7,5;2;1,5;0,25;17,5;6,25;5;0,0583940793164428
"Carex_laevigata|SPA|spm00002938";"Carex laevigata";"Spirostachyae";75,74;0,157395918367347;50;85;17,5;9;1,5;4,75;0,375;3,5;0,25;40;10;1;1;0;40;10;5;0,0618977240754293
"Carex_digitata|ITA|spm00000569";"Carex digitata";"Clandestinae";51,5666666666667;0,155593869731801;30;20;5;3,5;0,75;3,5;0,25;2,5;0,25;17,5;3,75;1;1;0;11,5;1,75;5;0,103162873459049
"Carex_flava|NFL|spm00001483";"Carex flava";"Ceratocystis";61;0,374712643678161;30;42,5;16,25;3,15;0,775;5,15;0,575;3,5;0,75;15;3,5;1;1;0;15,5;3,25;5;0,103162873459049
"Carex_distans|GRC|spm00000844";"Carex distans";"Spirostachyae";72,3928571428571;0,143754724111867;28;60;10;3,8;0,4;4,05;0,275;3;0,5;19,5;2,25;1;1;0;21;4;5;0,110531650134695
"Carex_aquatilis_var_aquatilis|NFL|spm00001485";"Carex aquatilis var. aquatilis";"Phacocystis";76,7692307692308;0,40094674556213;26;85;32,5;10,25;3,875;2,75;0,425;4;1;62,5;26,25;2;3;0,5;27,5;11,25;4;0,119034084760441
"Carex_canescens_ssp_canescens|FIN|spm00005994";"Carex canescens subsp. canescens";"Glareosae";57,2307692307692;0,542485207100592;26;37,5;11,25;3;0,5;2,4;0,3;5;1;7,5;2,25;3;1;0;7,5;2,25;3;0,119034084760441
"Carex_caryophyllea|SPA|spm00002063";"Carex caryophyllea";"Mitratae";66,1923076923077;0,166213017751479;26;19,5;7,75;2,25;0,375;2,65;0,075;1,5;0,25;10;2,5;1;1;0;15;2,5;5;0,119034084760441
"Carex_pachystachya|ASK|spm00001864";"Carex pachystachya";"Ovales";78,6923076923077;0,30698224852071;26;67,5;26,25;2,7;0,75;3,75;0,475;5;1,5;7,2;1,4;NA;1;0;7,2;1,4;3;0,119034084760441
