original name;species;mean 2n;Ncyt;mean se / Ncyt;mean variance / Ncyt
Carex_scoparia_var._scoparia|B648|MAI|spm00001255|Ovales;Carex scoparia var. scoparia;65.1908396946565;131;0.0106049662418509;0.224299597322805
Carex_nigra|STA_104|FRA|spm00005159|Phacocystis;Carex nigra;83.9056603773585;53;0.0262122750506125;0.554400891495989
Carex_laevigata||FRA|spm00004373|Spirostachyae;Carex laevigata;75.74;50;0.0277850115536493;0.587664944985748
Carex_flava|6E3PJM05|NOR|spm00003772|Ceratocystis;Carex flava;61;30;0.0463083525894155;0.979441574976247
Carex_digitata||ITA|spm00000569|Clandestinae;Carex digitata;51.5666666666667;30;0.0463083525894155;0.979441574976247
Carex_canescens|||spm00005990|Glareosae;Carex canescens;56.8333333333333;30;0.0463083525894155;0.979441574976247
Carex_aquatilis||NUN|spm00005451|Phacocystis;Carex aquatilis;76.5714285714286;28;0.049616092060088;1.04940168747455
Carex_distans||MOR|spm00002904|Spirostachyae;Carex distans;72.3928571428571;28;0.049616092060088;1.04940168747455
Carex_pachystachya|pachystachya_3190|CAL|spm00002560|Ovales;Carex pachystachya;78.0714285714286;28;0.049616092060088;1.04940168747455
Carex_caryophyllea|B1457|SPA|spm00002063|Mitratae;Carex caryophyllea;66.1923076923077;26;0.0534327145262486;1.13012489420336
Carex_pisiformis||CHS|spm00000095|Mitratae;Carex pisiformis;72.28;25;0.0555700231072986;1.1753298899715
Carex_flacca_subsp._flacca||ITA|spm00000525|Thuringiaca;Carex flacca subsp. flacca;70;23;0.0604021990296724;1.27753248909945
Carex_elata_subsp._elata||SPA|spm00003134|Phacocystis;Carex elata subsp. elata;75.1363636363636;22;0.0631477535310211;1.33560214769488
Carex_acuta||ITA|spm00003084|Phacocystis;Carex acuta;83.6818181818182;22;0.0631477535310211;1.33560214769488
Carex_binervis||SPA|spm00002885|Spirostachyae;Carex binervis;73.9090909090909;22;0.0631477535310211;1.33560214769488
Carex_capillaris|B1488|NWT|spm00002094|Chlorostachyae;Carex capillaris;51.8181818181818;22;0.0631477535310211;1.33560214769488
Carex_atrata||AUT|spm00002172|Racemosae;Carex atrata;53.0909090909091;22;0.0631477535310211;1.33560214769488
Carex_distachya|||spm00003208|Schiedeanae;Carex distachya;73.0454545454545;22;0.0631477535310211;1.33560214769488
Carex_bigelowii||NWT|spm00005468|Phacocystis;Carex bigelowii;70.8095238095238;21;0.0661547894134507;1.39920224996607
Carex_myosuroides|K_myosuroides_B_ZSL||spm00003654|Kobresia;Carex myosuroides;57.5714285714286;21;0.0661547894134507;1.39920224996607
Carex_blepharicarpa||KOR|spm00000012|Aulocystis;Carex blepharicarpa;30.8;20;0.0694625288841232;1.46916236246437
Carex_muricata_subsp._muricata||POL|spm00004400|Phaestoglochin;Carex muricata subsp. muricata;56.05;20;0.0694625288841232;1.46916236246437
Carex_macloviana||CL?|spm00003122|Ovales;Carex macloviana;85.3;20;0.0694625288841232;1.46916236246437
Carex_scirpoidea||NWT|spm00005531|Scirpinae;Carex scirpoidea;62.1052631578947;19;0.0731184514569718;1.54648669733092
Carex_mairei||SPA|spm00002945|Spirostachyae;Carex mairei;68.6842105263158;19;0.0731184514569718;1.54648669733092
Carex_brunnescens|||spm00005979|Glareosae;Carex brunnescens;56;15;0.092616705178831;1.95888314995249
Carex_simpliciuscula|STA_30|BRC|spm00005200|Kobresia;Carex simpliciuscula;71.9473684210526;19;0.0731184514569718;1.54648669733092
Carex_cespitosa||FIN|spm00003167|Phacocystis;Carex cespitosa;75.5555555555556;18;0.0771805876490258;1.63240262496041
Carex_rostrata|B993|WAS|spm00001600|Vesicariae;Carex rostrata;69.8333333333333;18;0.0771805876490258;1.63240262496041
Carex_saxatilis||NWT|spm00005528|Vesicariae;Carex saxatilis;74.7058823529412;17;0.0817206222166156;1.72842630878161
Carex_vaginata|B1367|YUK|spm00001974|Paniceae;Carex vaginata;31.7058823529412;17;0.0817206222166156;1.72842630878161
Carex_echinata|echinata_13551|WIS|spm00002390|Stellulatae;Carex echinata;56.5882352941176;17;0.0817206222166156;1.72842630878161
Carex_subspathacea|B1040|ARK|spm00001647|Phacocystis;Carex subspathacea;79.9375;16;0.086828161105154;1.83645295308046
Carex_demissa||UK|spm00003096|Ceratocystis;Carex demissa;69.75;16;0.086828161105154;1.83645295308046
Carex_fuliginosa||NUN|spm00005479|Aulocystis;Carex fuliginosa;40;16;0.086828161105154;1.83645295308046
Carex_atrofusca|B1047|ARK|spm00001654|Aulocystis;Carex atrofusca;38.25;16;0.086828161105154;1.83645295308046
Carex_remota|||spm00006117|Remotae;Carex remota;62.25;16;0.086828161105154;1.83645295308046
Carex_rupestris|B1515|SPA|spm00002121|Petraeae;Carex rupestris;50.75;16;0.086828161105154;1.83645295308046
Carex_vesicaria|B755|DEL|spm00001360|Vesicariae;Carex vesicaria;79.2;15;0.092616705178831;1.95888314995249
Carex_praticola|B557|COL|spm00001163|Ovales;Carex praticola;75.2;15;0.092616705178831;1.95888314995249
Carex_reuteriana_subsp._mauritanica||SPA|spm00003162|Phacocystis;Carex reuteriana subsp. mauritanica;73.7857142857143;14;0.099232184120176;2.0988033749491
Carex_limosa|B417|ARK|spm00001035|Limosae;Carex limosa;60.7142857142857;14;0.099232184120176;2.0988033749491
Carex_viridula||GRC|spm00003102|Ceratocystis;Carex viridula;66.7142857142857;14;0.099232184120176;2.0988033749491
Carex_pilulifera||POR|spm00000583|Acrocystis;Carex pilulifera;17.8571428571429;14;0.099232184120176;2.0988033749491
Carex_montana||YUG|spm00000543|Acrocystis;Carex montana;38;14;0.099232184120176;2.0988033749491
Carex_dacica||NOR|spm00003160|Phacocystis;Carex dacica;80.9230769230769;13;0.106865429052497;2.26024978840672
Carex_hirta||YUG|spm00000567|Carex;Carex hirta;112.230769230769;13;0.106865429052497;2.26024978840672
Carex_lachenalii||NUN|spm00005492|Glareosae;Carex lachenalii;61.6666666666667;12;0.115770881473539;2.44860393744062
Carex_crawfordii|crawfordii_10918|MAI|spm00002327|Ovales;Carex crawfordii;66.7692307692308;13;0.106865429052497;2.26024978840672
Carex_microptera||WAS|spm00004436|Ovales;Carex microptera;81.3846153846154;13;0.106865429052497;2.26024978840672
Carex_extensa||GRC|spm00002916|Spirostachyae;Carex extensa;60;12;0.115770881473539;2.44860393744062
Carex_norvegica||NUN|spm00005517|Racemosae;Carex norvegica;57.3333333333333;12;0.115770881473539;2.44860393744062
Carex_holostoma|B1024|ARK|spm00001631|Racemosae;Carex holostoma;57.25;12;0.115770881473539;2.44860393744062
